# Constraints on bitstream values from levels. Each column of this table enumerates a combination of parameter values] which may be used simultaneously in a VC-2 stream,,,,,,,,,,,,,,,,,,,,,,
# See vc2_conformance/level_constraints.py for meanings of the values in the table,,,,,,,,,,,,,,,,,,,,,,
# See vc2_conformance/constraint_table.py for details of how constraint tables are parsed and enforced,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# (11.2.1),# Unconcstrained,# Sub-SD,# SD480i-60,# SD480p-30,# SD Interlaced,# SD Progressive,# HD Progressive,# HD Interlaced,# HD Interlaced as progressive,# D-Cinema 2K,# D-Cinema 4K,# UHDTV 4K,# UHDTV 8K,# 1080p60 over SDI,# 1080p50 over SDI,# 720p60 over SD SDI,# 720p50 over SD SDI,# 1080i60 over SD SDI,# 1080i50 over SD SDI,# 1440x1080i60 over SD SDI,# 1440x1080i50 over SD SDI,# UHD over HD
level,0,1,2,"""","""","""",3,"""","""",4,5,6,7,64,"""",65,"""","""","""","""","""",66
profile,any,any,any,"""","""","""",any,"""","""",any,any,any,any,0,"""",0,"""","""","""","""","""",3
major_version,any,any,any,"""","""","""",any,"""","""",any,any,any,any,2,"""",2,"""","""","""","""","""",any
minor_version,any,any,any,"""","""","""",any,"""","""",any,any,any,any,any,"""",any,"""","""","""","""","""",any
,,,,,,,,,,,,,,,,,,,,,,
# (11.1),,,,,,,,,,,,,,,,,,,,,,
base_video_format,any,"1,2,3,4,5,6",7,"""","8,22","""","9,10,13,14,21","11,12","11,12",15,16,"17,18","19,20",13,14,9,10,11,12,11,12,"17,18"
picture_coding_mode,any,0,1,0,1,0,0,1,0,0,0,0,0,0,"""",0,"""",1,"""","""","""",0
,,,,,,,,,,,,,,,,,,,,,,
# (11.4.3),,,,,,,,,,,,,,,,,,,,,,
custom_dimensions_flag,any,FALSE,any,"""",FALSE,"""",FALSE,"""","""",FALSE,FALSE,FALSE,FALSE,FALSE,"""",FALSE,"""","""","""",TRUE,"""",FALSE
frame_width,any,,720,"""",,,,,,,,,,,,,,,,1440,"""",
frame_height,any,,480-486,"""",,,,,,,,,,,,,,,,1080,"""",
,,,,,,,,,,,,,,,,,,,,,,
# (11.4.4),,,,,,,,,,,,,,,,,,,,,,
custom_color_diff_format_flag,any,FALSE,FALSE,"""","""","""",FALSE,"""","""",FALSE,FALSE,FALSE,FALSE,FALSE,"""",FALSE,"""","""","""","""","""",FALSE
color_diff_format_index,any,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# (11.4.5),,,,,,,,,,,,,,,,,,,,,,
