# (11.4.6) Preset frame-rates from (Table 11.3),,,,
,# Informative but used for enum names,,,# informative
index,name,numerator,denominator,fps
1,fps_24_over_1_001,24000,1001,24/1.001
2,fps_24,24,1,24
3,fps_25,25,1,25
4,fps_30_over_1_001,30000,1001,30/1.001
5,fps_30,30,1,30
6,fps_50,50,1,50
7,fps_60_over_1_001,60000,1001,60/1.001
8,fps_60,60,1,60
9,fps_15_over_1_001,15000,1001,15/1.001
10,fps_25_over_2,25,2,25/2
11,fps_48,48,1,48
12,fps_48_over_1_001,48000,1001,48/1.001
13,fps_96,96,1,96
14,fps_100,100,1,100
15,fps_120_over_1_001,120000,1001,120/1.001
16,fps_120,120,1,120
