# Preset quantisation matrices (From Table D.1-8),,,,,,,,,
,,,,,,,,,
wavelet_index,wavelet_index_ho,dwt_depth_ho,level,orientations,dwt_depth=0,dwt_depth=1,dwt_depth=2,dwt_depth=3,dwt_depth=4
"# (Table D.1) Deslauriers-Dubuc (9,7)",,,,,,,,,
0,0,0,0,LL ,0,5,5,5,5
“,“,“,1,"HL, LH , HH ",,"3, 3, 0 ","3, 3, 0 ","3, 3, 0 ","3, 3, 0 "
“,“,“,2,"HL, LH, HH ",,,"4, 4, 1 ","4, 4, 1 ","4, 4 ,1 "
“,“,“,3,"HL, LH, HH ",,,,"5, 5 ,2 ","5, 5, 2 "
“,“,“,4,"HL, LH, HH ",,,,,"6, 6, 3 "
“,“,1,0,L ,3,3,3,3,3
“,“,“,1,H ,0,0,0,0,0
“,“,“,2,"HL, LH, HH ",,"3, 3, 0 ","3, 3, 0 ","3, 3, 0 ","3, 3, 0 "
“,“,“,3,"HL, LH, HH ",,,"4, 4, 1 ","4, 4, 1 ","4, 4, 1 "
“,“,“,4,"HL, LH, HH ",,,,"5, 5, 2 ","5, 5, 2 "
“,“,“,5,"HL, LH, HH ",,,,,"6, 6, 3 "
“,“,2,0,L ,3,3,3,3,
“,“,“,1,H ,0,0,0,0,
“,“,“,2,H ,3,3,3,3,
“,“,“,3,"HL, LH, HH ",,"5, 5, 3 ","5, 5, 3 ","5, 5, 3 ",
“,“,“,4,"HL, LH, HH ",,,"6, 6, 4 ","6, 6, 4 ",
“,“,“,5,"HL, LH, HH ",,,,"7, 7, 5 ",
“,“,3,0,L ,3,3,3,,
“,“,“,1,H ,0,0,0,,
“,“,“,2,H ,3,3,3,,
“,“,“,3,H ,5,5,5,,
“,“,“,4,"HL, LH, HH ",,"8, 8, 5 ","8, 8, 5 ",,
“,“,“,5,"HL, LH, HH ",,,"9, 9, 6 ",,
“,“,4,0,L ,3,3,,,
“,“,“,1,H ,0,0,,,
“,“,“,2,H ,3,3,,,
“,“,“,3,H ,5,5,,,
“,“,“,4,H ,8,8,,,
“,“,“,5,"HL, LH, HH ",,"10, 10, 8 ",,,
"# (Table D.2) LeGall (5,3)",,,,,,,,,
1,1,0,0,LL ,0,4,4,4,4
“,“,“,1,"HL, LH , HH ",,"2, 2, 0 ","2, 2, 0 ","2, 2, 0 ","2, 2, 0 "
“,“,“,2,"HL, LH, HH ",,,"4, 4, 2 ","4, 4, 2 ","4, 4, 2 "
“,“,“,3,"HL, LH, HH ",,,,"5, 5, 3 ","5, 5, 3 "
“,“,“,4,"HL, LH, HH ",,,,,"7, 7, 5 "
“,“,1,0,L ,2,2,2,2,2
“,“,“,1,H ,0,0,0,0,0
